,p,sep1,sep2,sep3,sep4,sep5,sep6,sep7,sep8,sep9,sep10,sep15,sep20,sep25,sep30,sed1,sed2,sed3,sed4,sed5,sed6,sed7,sed8,sed9,sed10,sed15,sed20,sed25,sed30,sep1_lws,sep2_lws,sep3_lws,sep4_lws,sep5_lws,sep6_lws,sep7_lws,sep8_lws,sep9_lws,sep10_lws,sep15_lws,sep20_lws,sep25_lws,sep30_lws,sed1_lws,sed2_lws,sed3_lws,sed4_lws,sed5_lws,sed6_lws,sed7_lws,sed8_lws,sed9_lws,sed10_lws,sed15_lws,sed20_lws,sed25_lws,sed30_lws
274,1.000020000400008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715107827832139,0.5320224757844074,0.523098528866742,0.5175672543303016,0.5154539054256472,0.5140806484914856,0.5107665435753554,0.511446124535349,0.5098915070746532,0.5086307110309911,0.49957193595677835,0.4988809967596805,0.493037404740286,0.49252141104614183,0.5715107827832139,0.5312807710996432,0.5232193578266254,0.5175475077708432,0.5149972251335239,0.5141997984910206,0.51129286295393,0.5114821984304789,0.5105901269830008,0.5085920728086956,0.5004294117867032,0.49948415703315985,0.49289927467951167,0.49278741610488813
275,1.000020000400008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715107827832139,0.5320224757844074,0.523098528866742,0.5175672543303016,0.5154539054256472,0.5140806484914856,0.5107665435753554,0.511446124535349,0.5098915070746532,0.5086307110309911,0.49957193595677835,0.4988809967596805,0.493037404740286,0.49252141104614183,0.5715107827832139,0.5312807710996432,0.5232193578266254,0.5175475077708432,0.5149972251335239,0.5141997984910206,0.51129286295393,0.5114821984304789,0.5105901269830008,0.5085920728086956,0.5004294117867032,0.49948415703315985,0.49289927467951167,0.49278741610488813
273,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
278,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
271,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
272,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
282,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
279,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
280,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
281,1.000030000900027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715108004199781,0.5320224950180641,0.5230985478701804,0.5175672725481972,0.5154539230541889,0.5140806656910456,0.5107665604431378,0.5114461403054765,0.5098915222066353,0.5086307259063041,0.49957195026821,0.4988810097044011,0.49303741726801714,0.49252142297581714,0.5715108004199781,0.5312807904786621,0.5232193767667138,0.5175475259214247,0.5149972427324662,0.5141998156769853,0.5112928795911129,0.5114822140585208,0.5105901421204684,0.5085920874882838,0.5004294256473646,0.49948416992041983,0.49289928720612436,0.49278742805145515
