,p,sep1,sed1,sep1_lws,sed1_lws
6,0.0007901264202272364,0.6455696202531646,0.6455696202531646,0.5044860696675273,0.5044860696675273
6,0.0007901264202272364,0.6075949367088608,0.6075949367088608,0.5044860696675273,0.5044860696675273
8,0.0007902449759425422,0.569620253164557,0.569620253164557,0.5044850324765032,0.5044850324765032
6,0.0008101215182277342,0.654320987654321,0.654320987654321,0.5043112702643618,0.5043112702643618
7,0.0008201558296076255,0.5609756097560976,0.5609756097560976,0.5042236465973654,0.5042236465973654
7,0.0008301743366106883,0.6024096385542169,0.6024096385542169,0.5041362256872509,0.5041362256872509
7,0.0008401848406649463,0.5238095238095238,0.5238095238095238,0.5040489390750801,0.5040489390750801
8,0.0008502295619817351,0.5647058823529412,0.5647058823529412,0.503961418700915,0.503961418700915
7,0.0008601548278690164,0.5581395348837209,0.5581395348837209,0.5038750024621281,0.5038750024621281
7,0.0008601634310518998,0.47674418604651164,0.47674418604651164,0.5038749275840819,0.5038749275840819
9,0.0008602924994498129,0.5,0.5,0.5038738042392816,0.5038738042392816
7,0.0008701566281930748,0.6091954022988506,0.6091954022988506,0.5037879832645762,0.5037879832645762
8,0.0008901958430854788,0.550561797752809,0.550561797752809,0.5036138255683135,0.5036138255683135
8,0.0008902225556389097,0.550561797752809,0.550561797752809,0.5036135935827089,0.5036135935827089
8,0.0009102093481500746,0.5054945054945055,0.5054945054945055,0.5034401434701962,0.5034401434701962
8,0.0009302046450219048,0.45161290322580644,0.45161290322580644,0.503266869098431,0.503266869098431
8,0.0009302139492083179,0.5161290322580645,0.5161290322580645,0.5032667885283993,0.5032667885283993
9,0.0009302697782356883,0.4946236559139785,0.4946236559139785,0.5032663050755016,0.5032663050755016
8,0.0009402068455060113,0.5,0.5,0.5031802854778993,0.5031802854778993
10,0.0009503326164157455,0.47368421052631576,0.47368421052631576,0.5030926949679924,0.5030926949679924
9,0.0009802352564615509,0.5510204081632653,0.5510204081632653,0.5028343954068473,0.5028343954068473
9,0.000990237657037689,0.48484848484848486,0.48484848484848486,0.5027481155675788,0.5027481155675788
9,0.0009902574669414048,0.46464646464646464,0.46464646464646464,0.5027479447489198,0.5027479447489198
9,0.0010002600676175806,0.52,0.52,0.5026617235353384,0.5026617235353384
9,0.0010102626682937563,0.5643564356435643,0.5643564356435643,0.5025755622859764,0.5025755622859764
11,0.001010404161664666,0.4752475247524752,0.4752475247524752,0.502574343906964,0.502574343906964
9,0.0010302369544995349,0.5145631067961165,0.5145631067961165,0.5024036842088364,0.5024036842088364
